Block Number,Trial Number,coord of stimulus,Saw stimulus
1,1,"(-43, -23)",True
1,2,"(890, -105)",True
1,3,"(241, -89)",True
1,4,"(-929, -344)",True
1,5,"(926, -46)",True
1,6,"(833, -6)",True
1,7,"(-824, 130)",False
1,8,"(790, 174)",True
1,9,"(-834, -83)",False
1,10,"(827, -13)",True
1,11,"(-883, -60)",False
1,12,"(18, -261)",True
1,13,"(619, 373)",True
1,14,"(878, -121)",True
1,15,"(-908, -113)",False
1,16,"(-930, 125)",True
1,17,"(-139, 72)",True
1,18,"(-844, -49)",False
1,19,"(-832, 5)",False
1,20,"(-654, 299)",True
1,21,"(180, 267)",True
1,22,"(-466, -330)",True
1,23,"(849, 6)",True
1,24,"(-208, -191)",True
1,25,"(838, -107)",True
1,26,"(853, -170)",True
1,27,"(910, 26)",False
1,28,"(-921, -89)",True
1,29,"(444, -345)",True
1,30,"(947, -126)",False
1,31,"(-518, 203)",True
1,32,"(827, -127)",True
1,33,"(893, -20)",True
1,34,"(826, -8)",True
1,35,"(866, -58)",True
1,36,"(836, -179)",True
1,37,"(-854, -91)",False
1,38,"(486, -174)",True
1,39,"(-868, -146)",False
1,40,"(-843, -170)",False
1,41,"(109, -44)",True
1,42,"(-890, -106)",False
1,43,"(-876, -2)",False
1,44,"(59, -15)",True
1,45,"(-897, -38)",False
1,46,"(538, 205)",True
1,47,"(850, -156)",True
1,48,"(-829, -175)",False
1,49,"(39, -253)",True
1,50,"(920, -20)",True
1,51,"(-834, -58)",False
1,52,"(882, -194)",True
1,53,"(-840, -193)",True
1,54,"(-933, 12)",False
1,55,"(-201, 154)",True
1,56,"(-850, -125)",False
1,57,"(-242, 177)",True
1,58,"(802, 56)",True
1,59,"(-337, -339)",True
1,60,"(-892, -42)",False
2,1,"(-538, -191)",True
2,2,"(882, 5)",False
2,3,"(-491, 273)",True
2,4,"(915, -130)",False
2,5,"(-48, -265)",True
2,6,"(-856, -103)",True
2,7,"(812, 277)",True
2,8,"(-899, -84)",True
2,9,"(907, -203)",False
2,10,"(903, -61)",False
2,11,"(913, -36)",False
2,12,"(877, -93)",False
2,13,"(-847, 12)",True
2,14,"(-875, 1)",True
2,15,"(-34, -210)",True
2,16,"(-396, -205)",True
2,17,"(619, -100)",True
2,18,"(-517, 86)",True
2,19,"(204, 374)",True
2,20,"(913, 22)",False
2,21,"(931, -56)",False
2,22,"(-831, -47)",True
2,23,"(-128, 351)",True
2,24,"(391, -140)",True
2,25,"(-874, -62)",True
2,26,"(856, 9)",False
2,27,"(-686, 176)",True
2,28,"(896, 16)",False
2,29,"(882, -94)",False
2,30,"(-931, -141)",True
2,31,"(70, 1)",True
2,32,"(123, 45)",True
2,33,"(-146, -229)",True
2,34,"(-677, -135)",True
2,35,"(940, -201)",False
2,36,"(-880, -131)",True
2,37,"(-938, -103)",True
2,38,"(846, -7)",False
2,39,"(873, -131)",False
2,40,"(-932, -141)",True
2,41,"(-870, -176)",True
2,42,"(-935, -126)",True
2,43,"(895, -196)",False
2,44,"(835, -192)",False
2,45,"(-850, -189)",True
2,46,"(946, 13)",False
2,47,"(-566, -336)",True
2,48,"(-869, -185)",True
2,49,"(862, 16)",False
2,50,"(913, 12)",False
2,51,"(-858, -203)",True
2,52,"(-875, 194)",True
2,53,"(699, 142)",True
2,54,"(944, -195)",False
2,55,"(-827, 11)",True
2,56,"(-398, -290)",True
2,57,"(692, -308)",True
2,58,"(406, 373)",True
2,59,"(-939, -23)",False
2,60,"(-927, -46)",True
